time,latitude,longitude,analysed_sst
UTC,degrees_north,degrees_east,degree_C
2023-03-01T12:00:00Z,8.375,79.725,27.71
2023-03-02T12:00:00Z,8.375,79.725,27.79
2023-03-03T12:00:00Z,8.375,79.725,28.0
2023-03-04T12:00:00Z,8.375,79.725,27.98
2023-03-05T12:00:00Z,8.375,79.725,28.150000000000002
2023-03-06T12:00:00Z,8.375,79.725,28.12
2023-03-07T12:00:00Z,8.375,79.725,28.1
2023-03-08T12:00:00Z,8.375,79.725,28.16
2023-03-09T12:00:00Z,8.375,79.725,28.17
2023-03-10T12:00:00Z,8.375,79.725,28.18
2023-03-11T12:00:00Z,8.375,79.725,28.310000000000002
2023-03-12T12:00:00Z,8.375,79.725,28.22
2023-03-13T12:00:00Z,8.375,79.725,28.37
2023-03-14T12:00:00Z,8.375,79.725,28.43
2023-03-15T12:00:00Z,8.375,79.725,28.43
2023-03-16T12:00:00Z,8.375,79.725,28.830000000000002
2023-03-17T12:00:00Z,8.375,79.725,29.04
2023-03-18T12:00:00Z,8.375,79.725,29.14
2023-03-19T12:00:00Z,8.375,79.725,29.1
2023-03-20T12:00:00Z,8.375,79.725,29.3
2023-03-21T12:00:00Z,8.375,79.725,29.21
2023-03-22T12:00:00Z,8.375,79.725,29.04
2023-03-23T12:00:00Z,8.375,79.725,28.84
2023-03-24T12:00:00Z,8.375,79.725,29.490000000000002
2023-03-25T12:00:00Z,8.375,79.725,29.740000000000002
2023-03-26T12:00:00Z,8.375,79.725,29.94
2023-03-27T12:00:00Z,8.375,79.725,30.28
2023-03-28T12:00:00Z,8.375,79.725,30.12
2023-03-29T12:00:00Z,8.375,79.725,30.150000000000002
2023-03-30T12:00:00Z,8.375,79.725,30.560000000000002
2023-03-31T12:00:00Z,8.375,79.725,30.43
2023-04-01T12:00:00Z,8.375,79.725,30.36
2023-04-02T12:00:00Z,8.375,79.725,30.42
2023-04-03T12:00:00Z,8.375,79.725,30.32
2023-04-04T12:00:00Z,8.375,79.725,30.060000000000002
2023-04-05T12:00:00Z,8.375,79.725,30.28
2023-04-06T12:00:00Z,8.375,79.725,30.44
2023-04-07T12:00:00Z,8.375,79.725,30.66
2023-04-08T12:00:00Z,8.375,79.725,30.3
2023-04-09T12:00:00Z,8.375,79.725,30.5
2023-04-10T12:00:00Z,8.375,79.725,30.51
2023-04-11T12:00:00Z,8.375,79.725,30.42
2023-04-12T12:00:00Z,8.375,79.725,30.52
2023-04-13T12:00:00Z,8.375,79.725,30.580000000000002
2023-04-14T12:00:00Z,8.375,79.725,30.64
2023-04-15T12:00:00Z,8.375,79.725,30.7
2023-04-16T12:00:00Z,8.375,79.725,30.740000000000002
2023-04-17T12:00:00Z,8.375,79.725,30.82
2023-04-18T12:00:00Z,8.375,79.725,31.09
2023-04-19T12:00:00Z,8.375,79.725,30.98
2023-04-20T12:00:00Z,8.375,79.725,30.7
2023-04-21T12:00:00Z,8.375,79.725,30.68
2023-04-22T12:00:00Z,8.375,79.725,30.75
2023-04-23T12:00:00Z,8.375,79.725,30.5
2023-04-24T12:00:00Z,8.375,79.725,30.47
2023-04-25T12:00:00Z,8.375,79.725,30.29
2023-04-26T12:00:00Z,8.375,79.725,29.990000000000002
2023-04-27T12:00:00Z,8.375,79.725,30.45
2023-04-28T12:00:00Z,8.375,79.725,30.27
2023-04-29T12:00:00Z,8.375,79.725,30.51
