time,latitude,longitude,analysed_sst
UTC,degrees_north,degrees_east,degree_C
2023-03-01T12:00:00Z,8.725,81.175,27.72
2023-03-02T12:00:00Z,8.725,81.175,27.71
2023-03-03T12:00:00Z,8.725,81.175,27.82
2023-03-04T12:00:00Z,8.725,81.175,27.87
2023-03-05T12:00:00Z,8.725,81.175,28.04
2023-03-06T12:00:00Z,8.725,81.175,28.04
2023-03-07T12:00:00Z,8.725,81.175,28.07
2023-03-08T12:00:00Z,8.725,81.175,28.03
2023-03-09T12:00:00Z,8.725,81.175,27.96
2023-03-10T12:00:00Z,8.725,81.175,28.04
2023-03-11T12:00:00Z,8.725,81.175,28.13
2023-03-12T12:00:00Z,8.725,81.175,28.16
2023-03-13T12:00:00Z,8.725,81.175,28.21
2023-03-14T12:00:00Z,8.725,81.175,28.43
2023-03-15T12:00:00Z,8.725,81.175,28.32
2023-03-16T12:00:00Z,8.725,81.175,28.57
2023-03-17T12:00:00Z,8.725,81.175,28.61
2023-03-18T12:00:00Z,8.725,81.175,28.580000000000002
2023-03-19T12:00:00Z,8.725,81.175,28.38
2023-03-20T12:00:00Z,8.725,81.175,28.36
2023-03-21T12:00:00Z,8.725,81.175,28.59
2023-03-22T12:00:00Z,8.725,81.175,28.67
2023-03-23T12:00:00Z,8.725,81.175,28.66
2023-03-24T12:00:00Z,8.725,81.175,28.88
2023-03-25T12:00:00Z,8.725,81.175,28.95
2023-03-26T12:00:00Z,8.725,81.175,29.12
2023-03-27T12:00:00Z,8.725,81.175,29.26
2023-03-28T12:00:00Z,8.725,81.175,29.310000000000002
2023-03-29T12:00:00Z,8.725,81.175,29.26
2023-03-30T12:00:00Z,8.725,81.175,29.400000000000002
2023-03-31T12:00:00Z,8.725,81.175,29.54
2023-04-01T12:00:00Z,8.725,81.175,29.67
2023-04-02T12:00:00Z,8.725,81.175,29.67
2023-04-03T12:00:00Z,8.725,81.175,29.64
2023-04-04T12:00:00Z,8.725,81.175,29.3
2023-04-05T12:00:00Z,8.725,81.175,29.64
2023-04-06T12:00:00Z,8.725,81.175,29.77
2023-04-07T12:00:00Z,8.725,81.175,29.84
2023-04-08T12:00:00Z,8.725,81.175,29.900000000000002
2023-04-09T12:00:00Z,8.725,81.175,29.82
2023-04-10T12:00:00Z,8.725,81.175,29.92
2023-04-11T12:00:00Z,8.725,81.175,30.01
2023-04-12T12:00:00Z,8.725,81.175,29.97
2023-04-13T12:00:00Z,8.725,81.175,29.990000000000002
2023-04-14T12:00:00Z,8.725,81.175,30.240000000000002
2023-04-15T12:00:00Z,8.725,81.175,30.25
2023-04-16T12:00:00Z,8.725,81.175,30.26
2023-04-17T12:00:00Z,8.725,81.175,30.28
2023-04-18T12:00:00Z,8.725,81.175,30.32
2023-04-19T12:00:00Z,8.725,81.175,30.3
2023-04-20T12:00:00Z,8.725,81.175,30.27
2023-04-21T12:00:00Z,8.725,81.175,30.2
2023-04-22T12:00:00Z,8.725,81.175,30.23
2023-04-23T12:00:00Z,8.725,81.175,29.900000000000002
2023-04-24T12:00:00Z,8.725,81.175,30.23
2023-04-25T12:00:00Z,8.725,81.175,30.21
2023-04-26T12:00:00Z,8.725,81.175,30.150000000000002
2023-04-27T12:00:00Z,8.725,81.175,30.490000000000002
2023-04-28T12:00:00Z,8.725,81.175,30.150000000000002
2023-04-29T12:00:00Z,8.725,81.175,30.26
2023-04-30T12:00:00Z,8.725,81.175,30.25
2023-05-01T12:00:00Z,8.725,81.175,30.13
2023-05-02T12:00:00Z,8.725,81.175,30.41
2023-05-03T12:00:00Z,8.725,81.175,30.13
2023-05-04T12:00:00Z,8.725,81.175,30.37
2023-05-05T12:00:00Z,8.725,81.175,30.2
2023-05-06T12:00:00Z,8.725,81.175,30.12
2023-05-07T12:00:00Z,8.725,81.175,30.150000000000002
2023-05-08T12:00:00Z,8.725,81.175,30.18
2023-05-09T12:00:00Z,8.725,81.175,30.09
2023-05-10T12:00:00Z,8.725,81.175,30.13
2023-05-11T12:00:00Z,8.725,81.175,30.05
2023-05-12T12:00:00Z,8.725,81.175,29.98
2023-05-13T12:00:00Z,8.725,81.175,30.07
2023-05-14T12:00:00Z,8.725,81.175,29.490000000000002
2023-05-15T12:00:00Z,8.725,81.175,29.14
2023-05-16T12:00:00Z,8.725,81.175,29.5
2023-05-17T12:00:00Z,8.725,81.175,29.91
2023-05-18T12:00:00Z,8.725,81.175,29.97
2023-05-19T12:00:00Z,8.725,81.175,30.18
2023-05-20T12:00:00Z,8.725,81.175,30.17
2023-05-21T12:00:00Z,8.725,81.175,30.27
2023-05-22T12:00:00Z,8.725,81.175,30.22
2023-05-23T12:00:00Z,8.725,81.175,30.26
2023-05-24T12:00:00Z,8.725,81.175,30.27
2023-05-25T12:00:00Z,8.725,81.175,30.09
2023-05-26T12:00:00Z,8.725,81.175,29.94
2023-05-27T12:00:00Z,8.725,81.175,30.01
2023-05-28T12:00:00Z,8.725,81.175,30.12
2023-05-29T12:00:00Z,8.725,81.175,29.86
2023-05-30T12:00:00Z,8.725,81.175,30.23
2023-05-31T12:00:00Z,8.725,81.175,30.09
2023-06-01T12:00:00Z,8.725,81.175,30.17
2023-06-02T12:00:00Z,8.725,81.175,29.6
2023-06-03T12:00:00Z,8.725,81.175,29.77
2023-06-04T12:00:00Z,8.725,81.175,29.87
2023-06-05T12:00:00Z,8.725,81.175,29.79
2023-06-06T12:00:00Z,8.725,81.175,29.95
2023-06-07T12:00:00Z,8.725,81.175,30.01
2023-06-08T12:00:00Z,8.725,81.175,29.490000000000002
2023-06-09T12:00:00Z,8.725,81.175,29.5
2023-06-10T12:00:00Z,8.725,81.175,29.57
2023-06-11T12:00:00Z,8.725,81.175,29.53
2023-06-12T12:00:00Z,8.725,81.175,29.73
2023-06-13T12:00:00Z,8.725,81.175,29.560000000000002
2023-06-14T12:00:00Z,8.725,81.175,29.28
2023-06-15T12:00:00Z,8.725,81.175,29.34
2023-06-16T12:00:00Z,8.725,81.175,29.57
2023-06-17T12:00:00Z,8.725,81.175,29.55
2023-06-18T12:00:00Z,8.725,81.175,29.47
2023-06-19T12:00:00Z,8.725,81.175,29.27
2023-06-20T12:00:00Z,8.725,81.175,29.29
2023-06-21T12:00:00Z,8.725,81.175,29.14
2023-06-22T12:00:00Z,8.725,81.175,29.060000000000002
2023-06-23T12:00:00Z,8.725,81.175,29.02
2023-06-24T12:00:00Z,8.725,81.175,29.05
2023-06-25T12:00:00Z,8.725,81.175,29.01
2023-06-26T12:00:00Z,8.725,81.175,29.240000000000002
2023-06-27T12:00:00Z,8.725,81.175,29.27
2023-06-28T12:00:00Z,8.725,81.175,29.41
2023-06-29T12:00:00Z,8.725,81.175,29.48
2023-06-30T12:00:00Z,8.725,81.175,29.72
2023-07-01T12:00:00Z,8.725,81.175,29.73
2023-07-02T12:00:00Z,8.725,81.175,29.650000000000002
2023-07-03T12:00:00Z,8.725,81.175,29.25
2023-07-04T12:00:00Z,8.725,81.175,29.35
2023-07-05T12:00:00Z,8.725,81.175,29.28
2023-07-06T12:00:00Z,8.725,81.175,29.02
2023-07-07T12:00:00Z,8.725,81.175,29.22
2023-07-08T12:00:00Z,8.725,81.175,28.94
2023-07-09T12:00:00Z,8.725,81.175,29.150000000000002
2023-07-10T12:00:00Z,8.725,81.175,29.07
2023-07-11T12:00:00Z,8.725,81.175,29.0
2023-07-12T12:00:00Z,8.725,81.175,28.94
2023-07-13T12:00:00Z,8.725,81.175,29.12
2023-07-14T12:00:00Z,8.725,81.175,29.07
2023-07-15T12:00:00Z,8.725,81.175,29.25
2023-07-16T12:00:00Z,8.725,81.175,29.13
2023-07-17T12:00:00Z,8.725,81.175,28.77
2023-07-18T12:00:00Z,8.725,81.175,28.740000000000002
2023-07-19T12:00:00Z,8.725,81.175,28.59
2023-07-20T12:00:00Z,8.725,81.175,28.71
2023-07-21T12:00:00Z,8.725,81.175,28.62
2023-07-22T12:00:00Z,8.725,81.175,28.36
2023-07-23T12:00:00Z,8.725,81.175,28.51
2023-07-24T12:00:00Z,8.725,81.175,28.54
2023-07-25T12:00:00Z,8.725,81.175,28.69
2023-07-26T12:00:00Z,8.725,81.175,28.79
2023-07-27T12:00:00Z,8.725,81.175,28.69
2023-07-28T12:00:00Z,8.725,81.175,28.73
2023-07-29T12:00:00Z,8.725,81.175,28.59
2023-07-30T12:00:00Z,8.725,81.175,28.5
2023-07-31T12:00:00Z,8.725,81.175,28.580000000000002
2023-08-01T12:00:00Z,8.725,81.175,27.73
2023-08-02T12:00:00Z,8.725,81.175,28.21
2023-08-03T12:00:00Z,8.725,81.175,28.55
2023-08-04T12:00:00Z,8.725,81.175,28.85
2023-08-05T12:00:00Z,8.725,81.175,28.830000000000002
2023-08-06T12:00:00Z,8.725,81.175,28.7
2023-08-07T12:00:00Z,8.725,81.175,28.900000000000002
2023-08-08T12:00:00Z,8.725,81.175,28.560000000000002
2023-08-09T12:00:00Z,8.725,81.175,28.14
2023-08-10T12:00:00Z,8.725,81.175,28.46
2023-08-11T12:00:00Z,8.725,81.175,28.990000000000002
2023-08-12T12:00:00Z,8.725,81.175,28.93
2023-08-13T12:00:00Z,8.725,81.175,28.89
2023-08-14T12:00:00Z,8.725,81.175,28.62
2023-08-15T12:00:00Z,8.725,81.175,28.66
2023-08-16T12:00:00Z,8.725,81.175,28.66
2023-08-17T12:00:00Z,8.725,81.175,28.560000000000002
2023-08-18T12:00:00Z,8.725,81.175,28.66
2023-08-19T12:00:00Z,8.725,81.175,27.490000000000002
2023-08-20T12:00:00Z,8.725,81.175,28.46
2023-08-21T12:00:00Z,8.725,81.175,28.73
2023-08-22T12:00:00Z,8.725,81.175,28.810000000000002
2023-08-23T12:00:00Z,8.725,81.175,28.490000000000002
2023-08-24T12:00:00Z,8.725,81.175,28.62
2023-08-25T12:00:00Z,8.725,81.175,28.76
2023-08-26T12:00:00Z,8.725,81.175,29.05
2023-08-27T12:00:00Z,8.725,81.175,29.12
2023-08-28T12:00:00Z,8.725,81.175,29.19
2023-08-29T12:00:00Z,8.725,81.175,29.16
2023-08-30T12:00:00Z,8.725,81.175,29.17
2023-08-31T12:00:00Z,8.725,81.175,29.240000000000002
